,umur,gender,occupation,nominal,periode_transaksi,kategori_nominal
240,7,1,Pendidikan,1027692,1,Nominal rendah
241,61,1,Tidak Bekerja,1500000,1,Nominal rendah
243,62,0,Tidak Bekerja,1000000,1,Nominal rendah
244,60,1,ASN,300000,1,Nominal rendah
245,60,1,ASN,150000,1,Nominal rendah
247,62,0,Lain-lain,80000000,1,Nominal sedang
250,72,0,Ketua Dewan Pengawas Syariah PT PNM,2058000,1,Nominal rendah
252,71,1,Wiraswasta,5000000,1,Nominal diatas rata-rata
253,8,1,Konsultan Pajak,252500,1,Nominal rendah
254,66,0,Wiraswasta,5000000,1,Nominal diatas rata-rata
255,65,0,Wiraswasta,4000000,1,Nominal diatas rata-rata
259,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",4682805,1,Nominal diatas rata-rata
261,68,1,Pendidikan,10000000,1,Nominal diatas rata-rata
262,68,0,Pegawai Swasta,20000000,1,Nominal tinggi
264,61,1,Wiraswasta,5000000,1,Nominal diatas rata-rata
265,25,0,Karyawan,20000,1,Nominal rendah
267,58,0,Tidak Bekerja,25000000,1,Nominal tinggi
271,62,1,Amil,100000,1,Nominal rendah
272,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",1090080,1,Nominal rendah
273,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",1192088,1,Nominal rendah
274,26,0,ASN,2000000,1,Nominal rendah
275,61,0,Tidak Bekerja,90000000,1,Nominal sedang
276,58,0,Wiraswasta,1200000,1,Nominal rendah
277,58,0,Wiraswasta,180000,1,Nominal rendah
278,64,0,Wiraswasta,7000000,1,Nominal diatas rata-rata
279,63,0,Amil,2500000,1,Nominal rendah
282,68,0,Wiraswasta,5000000,1,Nominal diatas rata-rata
284,7,1,Pendidikan,1504745,1,Nominal rendah
285,61,0,Tidak Bekerja,315000,1,Nominal rendah
287,8,1,Konsultan Pajak,307500,1,Nominal rendah
290,71,0,TNI POLRI,3000000,1,Nominal rendah
292,62,0,Tidak Bekerja,1000000,2,Nominal rendah
300,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",950325,2,Nominal rendah
301,64,0,Tidak Bekerja,25000000,2,Nominal tinggi
305,7,1,Pendidikan,785280,2,Nominal rendah
306,8,1,Konsultan Pajak,127500,2,Nominal rendah
310,76,0,Pensiunan,2500001,0,Nominal rendah
311,72,0,Ketua Dewan Pengawas Syariah PT PNM,2058000,0,Nominal rendah
312,76,0,Pensiunan,17500000,0,Nominal tinggi
313,80,0,Amil,1237500,0,Nominal rendah
314,4,1,Amil,375000,0,Nominal rendah
315,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",1173740,0,Nominal rendah
317,62,1,Amil,800000,0,Nominal rendah
318,65,0,Wiraswasta,2500000,0,Nominal rendah
319,4,1,Amil,10001,0,Nominal rendah
320,9,0,ASN,500000,0,Nominal rendah
322,60,0,Tidak Bekerja,30000000,0,Nominal tinggi
323,80,0,Amil,5000000,0,Nominal diatas rata-rata
324,65,0,Wiraswasta,500000,0,Nominal rendah
325,73,0,Lain-lain,4400000,0,Nominal diatas rata-rata
326,7,1,Pendidikan,1183994,0,Nominal rendah
330,7,1,Pendidikan,2500000,0,Nominal rendah
331,62,1,Amil,2500000,0,Nominal rendah
339,22,0,Amil,825000,2,Nominal rendah
341,22,0,Amil,50000,2,Nominal rendah
343,22,0,Amil,20000,2,Nominal rendah
346,22,0,Amil,25000,2,Nominal rendah
348,22,0,Amil,15000,2,Nominal rendah
353,22,0,Amil,825000,1,Nominal rendah
355,22,0,Amil,270000,1,Nominal rendah
356,22,0,Amil,10002,1,Nominal rendah
357,22,0,Amil,60000,1,Nominal rendah
363,22,0,Amil,20003,1,Nominal rendah
365,22,0,Amil,1072500,2,Nominal rendah
366,22,0,Amil,866250,0,Nominal rendah
368,22,0,Amil,2900000,0,Nominal rendah
372,22,0,Amil,10002,2,Nominal rendah
374,22,0,Amil,674331,2,Nominal rendah
375,22,0,Amil,8000,2,Nominal rendah
377,22,0,Amil,1126337,2,Nominal rendah
380,22,0,Amil,9000,1,Nominal rendah
382,22,0,Amil,825000,0,Nominal rendah
385,27,1,Amil,1,2,Nominal rendah
386,27,1,Pendidikan,100000,2,Nominal rendah
387,27,1,mahasiswa,100000,2,Nominal rendah
390,27,1,Amil,35001,2,Nominal rendah
391,27,1,Amil,10000,2,Nominal rendah
392,27,1,Amil,10001,2,Nominal rendah
396,27,1,Pendidikan,50000,2,Nominal rendah
398,27,1,Amil,150000,1,Nominal rendah
399,27,1,Amil,1001,1,Nominal rendah
400,27,1,Amil,10001,1,Nominal rendah
404,27,1,Amil,1000,1,Nominal rendah
405,27,1,Mahasiswi,45000,1,Nominal rendah
410,27,1,Amil,195430,2,Nominal rendah
411,27,1,Amil,175725,2,Nominal rendah
415,27,1,Amil,2900000,0,Nominal rendah
428,27,1,Amil,1000,2,Nominal rendah
432,27,1,mahasiswa,50000,2,Nominal rendah
433,27,1,Amil,13000,2,Nominal rendah
435,27,1,Amil,10002,2,Nominal rendah
443,27,1,Amil,5000,2,Nominal rendah
453,27,1,Pendidikan,50000,1,Nominal rendah
454,27,1,Amil,20000,1,Nominal rendah
455,27,1,Amil,8000,1,Nominal rendah
458,27,1,Amil,12000,1,Nominal rendah
459,27,1,mahasiswa,45000,1,Nominal rendah
460,27,0,ASN,45000,1,Nominal rendah
462,27,1,Amil,35010,1,Nominal rendah
467,27,1,Pendidikan,50000,0,Nominal rendah
470,27,1,Amil,100001,2,Nominal rendah
471,27,1,Pendidikan,200000,2,Nominal rendah
472,28,1,Human Resources,1100000,2,Nominal rendah
473,28,0,Amil,244514,2,Nominal rendah
475,28,1,Manufaktur,296000,2,Nominal rendah
476,28,1,Manufaktur,419000,2,Nominal rendah
478,28,0,IT,50000,2,Nominal rendah
480,28,1,Manufaktur,417000,2,Nominal rendah
484,28,1,Manufaktur,424000,2,Nominal rendah
487,28,0,Amil,244514,1,Nominal rendah
489,28,1,Manufaktur,420000,1,Nominal rendah
491,28,1,Karyawan,3500000,1,Nominal rendah
492,28,1,Manufaktur,249000,1,Nominal rendah
495,28,0,Perbankan,92500,1,Nominal rendah
496,28,0,Perbankan,22500,1,Nominal rendah
497,28,0,Mahasiswa,90000,1,Nominal rendah
498,28,0,Lain-lain,135000,1,Nominal rendah
499,28,1,Tidak Bekerja,510000,2,Nominal rendah
500,28,1,Tidak Bekerja,750000,2,Nominal rendah
501,28,1,Manufaktur,416000,2,Nominal rendah
503,28,0,Amil,317868,2,Nominal rendah
